study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB41565	SAMEA7725436	ERX4815006	ERR5006074	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5006074/ERR5006074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5006074/ERR5006074_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006074/HI.4967.004.IDT_i7_121---IDT_i5_121.20150530_SB5_314_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006074/HI.4967.004.IDT_i7_121---IDT_i5_121.20150530_SB5_314_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725437	ERX4815007	ERR5006075	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5006075/ERR5006075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5006075/ERR5006075_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006075/HI.4967.004.IDT_i7_133---IDT_i5_133.20150530_SB5_314_1004m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006075/HI.4967.004.IDT_i7_133---IDT_i5_133.20150530_SB5_314_1004m_R2.fastq.gz	
PRJEB41565	SAMEA7725438	ERX4815008	ERR5006076	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5006076/ERR5006076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5006076/ERR5006076_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006076/HI.4967.004.IDT_i7_145---IDT_i5_145.20160523_SI8_428_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006076/HI.4967.004.IDT_i7_145---IDT_i5_145.20160523_SI8_428_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725439	ERX4815053	ERR5006121	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5006121/ERR5006121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5006121/ERR5006121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006121/HI.4967.004.IDT_i7_157---IDT_i5_157.20160523_SI8_428_1045m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006121/HI.4967.004.IDT_i7_157---IDT_i5_157.20160523_SI8_428_1045m_R2.fastq.gz	
PRJEB41565	SAMEA7725440	ERX4815192	ERR5006260	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5006260/ERR5006260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5006260/ERR5006260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006260/HI.4967.004.IDT_i7_169---IDT_i5_169.20160531_SB5_510_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006260/HI.4967.004.IDT_i7_169---IDT_i5_169.20160531_SB5_510_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725441	ERX4815193	ERR5006261	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5006261/ERR5006261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5006261/ERR5006261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006261/HI.4967.004.IDT_i7_181---IDT_i5_181.20160531_SB5_510_1004m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006261/HI.4967.004.IDT_i7_181---IDT_i5_181.20160531_SB5_510_1004m_R2.fastq.gz	
PRJEB41565	SAMEA7725445	ERX4815194	ERR5006262	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5006262/ERR5006262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5006262/ERR5006262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006262/HI.4789.001.IDT_i7_37---IDT_i5_37.20170522_SI3_319_470m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006262/HI.4789.001.IDT_i7_37---IDT_i5_37.20170522_SI3_319_470m_R2.fastq.gz	
PRJEB41565	SAMEA7725446	ERX4815195	ERR5006263	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5006263/ERR5006263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5006263/ERR5006263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006263/HI.4789.001.IDT_i7_49---IDT_i5_49.20170530_SB5_429_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006263/HI.4789.001.IDT_i7_49---IDT_i5_49.20170530_SB5_429_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725447	ERX4815196	ERR5006264	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5006264/ERR5006264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5006264/ERR5006264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006264/HI.4789.001.IDT_i7_61---IDT_i5_61.20170530_SB5_429_1004m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006264/HI.4789.001.IDT_i7_61---IDT_i5_61.20170530_SB5_429_1004m_R2.fastq.gz	
PRJEB41565	SAMEA7725454	ERX4815580	ERR5006648	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5006648/ERR5006648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5006648/ERR5006648_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006648/HI.4789.001.IDT_i7_62---IDT_i5_62.20170818_SB5_838_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006648/HI.4789.001.IDT_i7_62---IDT_i5_62.20170818_SB5_838_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725455	ERX4815581	ERR5006649	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5006649/ERR5006649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5006649/ERR5006649_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006649/HI.4789.001.IDT_i7_50---IDT_i5_50.20170818_SB5_838_1004m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006649/HI.4789.001.IDT_i7_50---IDT_i5_50.20170818_SB5_838_1004m_R2.fastq.gz	
PRJEB41565	SAMEA7725448	ERX4815582	ERR5006650	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5006650/ERR5006650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5006650/ERR5006650_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006650/HI.4789.001.IDT_i7_73---IDT_i5_73.20170809_SI3_771_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006650/HI.4789.001.IDT_i7_73---IDT_i5_73.20170809_SI3_771_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725456	ERX4815587	ERR5006655	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5006655/ERR5006655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5006655/ERR5006655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006655/HI.4967.004.IDT_i7_110---IDT_i5_110.20180216_SI3_83_470m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006655/HI.4967.004.IDT_i7_110---IDT_i5_110.20180216_SI3_83_470m_R2.fastq.gz	
PRJEB41565	SAMEA7725457	ERX4815588	ERR5006656	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5006656/ERR5006656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5006656/ERR5006656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006656/HI.4967.004.IDT_i7_122---IDT_i5_122.20180216_SI8_92_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006656/HI.4967.004.IDT_i7_122---IDT_i5_122.20180216_SI8_92_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725458	ERX4816696	ERR5007764	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5007764/ERR5007764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5007764/ERR5007764_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5007764/HI.4967.004.IDT_i7_134---IDT_i5_134.20180216_SI8_92_1045m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5007764/HI.4967.004.IDT_i7_134---IDT_i5_134.20180216_SI8_92_1045m_R2.fastq.gz	
PRJEB41565	SAMEA7725459	ERX4816697	ERR5007765	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5007765/ERR5007765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5007765/ERR5007765_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5007765/HI.4967.004.IDT_i7_170---IDT_i5_170.20180518_SI8_404_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5007765/HI.4967.004.IDT_i7_170---IDT_i5_170.20180518_SI8_404_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725460	ERX4816698	ERR5007766	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5007766/ERR5007766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5007766/ERR5007766_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5007766/HI.4967.004.IDT_i7_182---IDT_i5_182.20180518_SI8_404_1045m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5007766/HI.4967.004.IDT_i7_182---IDT_i5_182.20180518_SI8_404_1045m_R2.fastq.gz	
PRJEB41565	SAMEA7725461	ERX4817454	ERR5008522	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5008522/ERR5008522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5008522/ERR5008522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008522/HI.4967.004.IDT_i7_146---IDT_i5_146.20180520_SI3_409_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008522/HI.4967.004.IDT_i7_146---IDT_i5_146.20180520_SI3_409_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725462	ERX4817455	ERR5008523	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5008523/ERR5008523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5008523/ERR5008523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008523/HI.4967.004.IDT_i7_99---IDT_i5_99.20180529_SB2_484_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008523/HI.4967.004.IDT_i7_99---IDT_i5_99.20180529_SB2_484_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725463	ERX4817456	ERR5008524	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5008524/ERR5008524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5008524/ERR5008524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008524/HI.4967.004.IDT_i7_111---IDT_i5_111.20180529_SB2_484_90m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008524/HI.4967.004.IDT_i7_111---IDT_i5_111.20180529_SB2_484_90m_R2.fastq.gz	
PRJEB41565	SAMEA7725464	ERX4817457	ERR5008525	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5008525/ERR5008525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5008525/ERR5008525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008525/HI.4967.004.IDT_i7_123---IDT_i5_123.20180529_SB5_488_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008525/HI.4967.004.IDT_i7_123---IDT_i5_123.20180529_SB5_488_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725465	ERX4817458	ERR5008526	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5008526/ERR5008526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5008526/ERR5008526_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008526/HI.4967.004.IDT_i7_135---IDT_i5_135.20180529_SB5_488_1004m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5008526/HI.4967.004.IDT_i7_135---IDT_i5_135.20180529_SB5_488_1004m_R2.fastq.gz	
PRJEB41565	SAMEA10018429	ERX6693983	ERR7125094	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125094/ERR7125094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125094/ERR7125094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125094/SB002-024-16S-V4_S154_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125094/SB002-024-16S-V4_S154_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018430	ERX6693984	ERR7125095	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125095/ERR7125095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125095/ERR7125095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125095/SB005-036-16S-V4_S135_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125095/SB005-036-16S-V4_S135_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018431	ERX6693985	ERR7125096	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/006/ERR7125096/ERR7125096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/006/ERR7125096/ERR7125096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125096/SB005-068-16S-V4_S127_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125096/SB005-068-16S-V4_S127_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018432	ERX6693986	ERR7125097	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/007/ERR7125097/ERR7125097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/007/ERR7125097/ERR7125097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125097/SI008-099-16S-V4_S112_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125097/SI008-099-16S-V4_S112_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018433	ERX6693987	ERR7125098	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/008/ERR7125098/ERR7125098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/008/ERR7125098/ERR7125098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125098/SB005-100-16S-V4_S144_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125098/SB005-100-16S-V4_S144_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018434	ERX6693988	ERR7125099	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/009/ERR7125099/ERR7125099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/009/ERR7125099/ERR7125099_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125099/SI003-026-16S-V4_S71_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125099/SI003-026-16S-V4_S71_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018435	ERX6693989	ERR7125100	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/000/ERR7125100/ERR7125100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/000/ERR7125100/ERR7125100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125100/SI008-034-16S-V4_S41_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125100/SI008-034-16S-V4_S41_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018436	ERX6693990	ERR7125101	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/001/ERR7125101/ERR7125101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/001/ERR7125101/ERR7125101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125101/SB002-036-16S-V4_S124_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125101/SB002-036-16S-V4_S124_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018437	ERX6693991	ERR7125102	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/002/ERR7125102/ERR7125102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/002/ERR7125102/ERR7125102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125102/SB002-061-16S-V4_S19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125102/SB002-061-16S-V4_S19_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018438	ERX6693992	ERR7125103	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/003/ERR7125103/ERR7125103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/003/ERR7125103/ERR7125103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125103/SB005-057A-16S-V4_S102_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125103/SB005-057A-16S-V4_S102_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018439	ERX6693993	ERR7125104	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125104/ERR7125104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/004/ERR7125104/ERR7125104_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125104/SI003-076-16S-V4_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125104/SI003-076-16S-V4_S12_L001_R2_001.fastq.gz	
PRJEB41565	SAMEA10018440	ERX6693994	ERR7125105	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125105/ERR7125105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR712/005/ERR7125105/ERR7125105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125105/SI008-057-16S-V4_S62_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR712/ERR7125105/SI008-057-16S-V4_S62_L001_R2_001.fastq.gz	
